Datetime,Load_Forecast
2024-01-01 00:00:00,112.93378
2024-01-01 01:00:00,118.95956
2024-01-01 02:00:00,114.150566
2024-01-01 03:00:00,99.977936
2024-01-01 04:00:00,80.03344
2024-01-01 05:00:00,58.652077
2024-01-01 06:00:00,42.771965
2024-01-01 07:00:00,35.653038
2024-01-01 08:00:00,39.760662
2024-01-01 09:00:00,54.174072
2024-01-01 10:00:00,74.16759
2024-01-01 11:00:00,95.03653
2024-01-01 12:00:00,111.1305
2024-01-01 13:00:00,117.8601
2024-01-01 14:00:00,113.82386
2024-01-01 15:00:00,100.318596
2024-01-01 16:00:00,80.83927
2024-01-01 17:00:00,59.60079
2024-01-01 18:00:00,43.35959
2024-01-01 19:00:00,35.654915
2024-01-01 20:00:00,38.89538
2024-01-01 21:00:00,52.631947
2024-01-01 22:00:00,72.24856
2024-01-01 23:00:00,93.0648
