Datetime,PV_Forecast
2024-01-01 00:00:00,-0.0048941374
2024-01-01 01:00:00,0.05739212
2024-01-01 02:00:00,0.1567693
2024-01-01 03:00:00,0.09299487
2024-01-01 04:00:00,-0.28262973
2024-01-01 05:00:00,0.05383551
2024-01-01 06:00:00,4.4657235
2024-01-01 07:00:00,14.838918
2024-01-01 08:00:00,28.957651
2024-01-01 09:00:00,42.61057
2024-01-01 10:00:00,51.840126
2024-01-01 11:00:00,54.962566
2024-01-01 12:00:00,51.931767
2024-01-01 13:00:00,42.7114
2024-01-01 14:00:00,29.01932
2024-01-01 15:00:00,14.735085
2024-01-01 16:00:00,4.501172
2024-01-01 17:00:00,0.6408307
2024-01-01 18:00:00,0.12682065
2024-01-01 19:00:00,0.24275735
2024-01-01 20:00:00,0.26206166
2024-01-01 21:00:00,0.21163881
2024-01-01 22:00:00,0.14309853
2024-01-01 23:00:00,0.05382836
